,Dataset,BRM_auc,GMM_auc,IsoF_auc,Elliptic_auc,DTAE_auc,BRM_avr_pre,GMM_avr_pre,IsoF_avr_pre,Elliptic_avr_pre,DTAE_avr_pre
10,winequality-red-8_vs_6,0.7391152908394287,0.5934343434343434,0.6632706374085684,0.5756704980842913,0.695576454197144,0.9875060797911903,0.9774014028542575,0.984293017973874,0.9745682820479082,0.986044193388097
11,yeast-1_vs_7,0.5186480186480187,0.5801087801087801,0.54988344988345,0.541958041958042,0.6111111111111112,0.9286602473624815,0.9480272466434461,0.9363501578873665,0.941055464506671,0.909382334837747
12,abalone-20_vs_8-9-10,0.7836080586080586,0.8009361009361009,0.7183150183150184,0.8351444851444851,0.7064509564509565,0.9963765563887261,0.9963012394337255,0.9946843194443002,0.9970080507945625,0.9943635682525601
13,shuttle-c2-vs-c4,0.9742547425474255,0.9742547425474255,0.981029810298103,0.997289972899729,0.970189701897019,0.9987764020769361,0.998716932905787,0.999085749594289,0.9998683366062615,0.9985809808767626
14,yeast5,0.5544428661616162,0.7580255681818182,0.8170849116161616,0.7170533459595959,0.5793955176767677,0.9786748653681494,0.9912628590042384,0.9932732791123111,0.9894582327861532,0.9620312843737162
15,ecoli4,0.6270569620253165,0.8395569620253165,0.7643987341772152,0.8962025316455696,0.7231012658227848,0.9661013237126199,0.9873690113605768,0.9810383857586299,0.9926349373882044,0.9794511867717948
16,shuttle-6_vs_2-3,0.995,0.94,0.9736363636363636,0.7863636363636364,0.9763636363636363,0.999772891171379,0.9970560437662267,0.9987892450508182,0.9890277108551071,0.9989211258165471
17,yeast-0-2-5-6_vs_3-7-8-9,0.6122216641553658,0.7120040180813662,0.7282884089513924,0.6893465037111446,0.5329873318823595,0.9309136960801281,0.9539370751818821,0.9533508616111777,0.9493686721349076,0.8989707588919769
18,poker-8_vs_6,0.7877518130539887,0.5211522965350524,0.5117244157937149,0.5624899274778404,0.8707091055600321,0.9967511190573393,0.9789591699579507,0.9833245559733583,0.9841974655348283,0.9978918265572414
19,wisconsinImb,0.9760827773380074,0.9748388555919937,0.9831128199329037,0.9869859399148102,0.9734818500508878,0.9899417898041311,0.9879879743169544,0.992581764025437,0.9940034174926557,0.9891632790308916
20,glass-0-6_vs_5,0.8372615039281706,0.6767676767676768,0.6902356902356903,0.7934904601571269,0.8417508417508417,0.9842497372774598,0.9576954265381895,0.9647123065311131,0.9799174826399356,0.9851627723909046
21,iris0,0.5871,0.5258,0.5848,0.5266000000000001,0.7634,0.6035032564647144,0.755524282413061,0.7285641053645144,0.7343282147008139,0.541749325472049
22,abalone-3_vs_11,0.6925393566050649,0.9824777549623546,0.9920602327173169,1.0,0.9852156057494866,0.9435842478256877,0.9994572244172223,0.9997602322895357,1.0,0.8988974386016824
23,ecoli-0-1-4-7_vs_5-6,0.7123778501628664,0.8256026058631921,0.8051465798045603,0.822214983713355,0.7805211726384365,0.9593009353120215,0.9809187870044702,0.9795714456541007,0.983042515035498,0.9761518013091544
24,abalone-21_vs_8,0.859347442680776,0.8291131267321743,0.9112496850592089,0.8728269085411943,0.6779415469891661,0.9959689410027026,0.9949637683539669,0.997524374767206,0.9964466389152351,0.9892037325685515
25,glass6,0.6643056849953402,0.8801491146318733,0.8342963653308482,0.927493010251631,0.6581547064305685,0.9307175894575528,0.9803105846226192,0.9731375047266457,0.9891369374590607,0.9333869641589185
26,poker-8-9_vs_5,0.8041170731707317,0.666790243902439,0.5925658536585365,0.6698731707317074,0.5061268292682927,0.9967504161678109,0.9853672685580139,0.9858774813586308,0.9855174243044101,0.9889134010969929
27,glass-0-1-6_vs_2,0.5115966386554622,0.5159663865546218,0.547563025210084,0.5082352941176471,0.5220168067226891,0.9215905272280521,0.9361304735603999,0.9175839202151055,0.9344834085190541,0.9219385825216491
28,poker-8-9_vs_6,0.8147397260273972,0.6448493150684932,0.6432876712328767,0.600876712328767,0.8795068493150685,0.9962046563204244,0.9795708115845358,0.9833927560228655,0.9849090615974706,0.9974668817816777
29,glass-0-1-4-6_vs_2,0.5818210262828536,0.5450563204005006,0.5973091364205256,0.5503754693366708,0.5660200250312891,0.9039999069681973,0.9217011454082908,0.9161473160031941,0.9276644516563137,0.9117169765486113
