,Dataset,BRM,BRM_M,BRM_C,BRM_Ch,GMM,ISOF,ocSVM,BRM_MinMax,BRM_M_MinMax,BRM_C_MinMax,BRM_Ch_MinMax,GMM_MinMax,ISOF_MinMax,ocSVM_MinMax,BRM_std,BRM_M_std,BRM_C_std,BRM_Ch_std,GMM_std,ISOF_std,ocSVM_std,BRM_Minmax_std,BRM_M_Minmax_std,BRM_C_Minmax_std,BRM_Ch_Minmax_std,GMM_Minmax_std,ISOF_Minmax_std,ocSVM_Minmax_std
10,glass-0-6_vs_5,0.875,0.875,0.875,0.825,0.675,0.675,0.875,0.875,0.875,0.875,0.825,0.675,0.7,0.875,0.875,0.875,0.875,0.825,0.675,0.725,0.875,0.875,0.875,0.875,0.825,0.675,0.625,0.875
11,glass-0-4_vs_5,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8529411764705882,0.5294117647058824,0.8529411764705882,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7941176470588235,0.5294117647058824,0.8529411764705882,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.5294117647058824,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7058823529411764,0.5294117647058824
12,ecoli-0-1_vs_2-3-5,0.9954545454545455,1.0,0.9090909090909091,0.9954545454545455,0.9681818181818181,0.9863636363636363,0.9727272727272728,0.9954545454545455,1.0,0.9136363636363636,0.990909090909091,0.9681818181818181,0.9954545454545455,0.9727272727272728,0.9954545454545455,1.0,0.9090909090909091,0.9954545454545455,0.9681818181818181,0.990909090909091,0.9727272727272728,0.9954545454545455,1.0,0.9090909090909091,0.9954545454545455,0.9681818181818181,0.9772727272727273,0.9727272727272728
13,yeast-0-2-5-7-9_vs_3-6-8,0.8439226519337016,0.8229281767955801,0.7325966850828729,0.8441988950276242,0.7798342541436464,0.7964088397790056,0.8146408839779005,0.8472375690607734,0.8290055248618784,0.7375690607734806,0.8425414364640884,0.7798342541436464,0.8284530386740332,0.8146408839779005,0.8466850828729282,0.8262430939226519,0.7328729281767956,0.8422651933701657,0.7798342541436464,0.7939226519337017,0.8146408839779005,0.8469613259668508,0.8218232044198894,0.73646408839779,0.8419889502762431,0.7798342541436464,0.8292817679558011,0.8146408839779005
14,ecoli-0-2-6-7_vs_3-5,0.985,0.98,0.9349999999999999,0.985,0.975,0.89,0.97,0.99,0.98,0.9349999999999999,0.985,0.975,0.88,0.97,0.99,0.98,0.9349999999999999,0.99,0.975,0.95,0.97,0.99,0.98,0.9249999999999999,0.985,0.975,0.95,0.97
15,ecoli-0-3-4-7_vs_5-6,0.9148936170212766,0.9148936170212766,0.8808510638297873,0.8978723404255319,0.8851063829787233,0.8808510638297872,0.8808510638297872,0.9191489361702128,0.9148936170212766,0.8851063829787235,0.902127659574468,0.8851063829787233,0.8723404255319149,0.8808510638297872,0.902127659574468,0.9148936170212766,0.8808510638297873,0.8851063829787233,0.8851063829787233,0.8042553191489361,0.8808510638297872,0.9191489361702128,0.9191489361702128,0.8851063829787235,0.8893617021276595,0.8851063829787233,0.8,0.8808510638297872
16,vehicle0,0.8317307692307692,0.8748076923076923,0.8886538461538461,0.7646153846153847,0.8638461538461538,0.7186538461538461,0.6934615384615385,0.8269230769230769,0.8721153846153846,0.8909615384615385,0.7559615384615385,0.8638461538461538,0.6967307692307692,0.6934615384615385,0.8298076923076924,0.8692307692307693,0.895,0.7642307692307693,0.8638461538461538,0.6434615384615385,0.6934615384615385,0.8309615384615385,0.8713461538461539,0.8909615384615385,0.7663461538461539,0.8638461538461538,0.6998076923076924,0.6934615384615385
17,ecoli-0-1-3-7_vs_2-6,0.990909090909091,0.990909090909091,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9545454545454546,0.990909090909091,0.990909090909091,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9727272727272727,0.9545454545454546,0.990909090909091,0.990909090909091,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9545454545454546,0.990909090909091,0.990909090909091,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9636363636363636,0.9545454545454546
18,kr-vs-k-zero_vs_eight,0.9831002331002331,0.8948135198135198,0.9813519813519813,0.5,0.7966200466200466,0.534965034965035,0.5052447552447552,0.9696969696969697,0.9831002331002331,0.979020979020979,0.5,0.7966200466200466,0.7004662004662005,0.5052447552447552,0.9612470862470862,0.9825174825174825,0.9825174825174825,0.5,0.7966200466200466,0.6171328671328671,0.5052447552447552,0.9603729603729604,0.9813519813519813,0.9597902097902098,0.5,0.7966200466200466,0.6468531468531469,0.5052447552447552
19,winequality-red-4,0.6072374227714034,0.6107678729037953,0.6275375110326566,0.5772285966460724,0.5228008237716976,0.5045601647543395,0.6240070609002648,0.6163577522800824,0.6154751397469844,0.6172403648131803,0.5601647543395116,0.5228008237716976,0.5342747867019711,0.6240070609002648,0.6042953809944102,0.6248896734333628,0.6275375110326566,0.5625183877611062,0.5228008237716976,0.5063253898205354,0.6240070609002648,0.6057664018829068,0.6037069726390115,0.6481318034716093,0.5607531626949103,0.5228008237716976,0.5433951162106502,0.6240070609002648
